label,timestamp,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
peace,1776811114.0036952,0.0,0.0,0.0,-0.2302316129207611,-0.13328400254249573,-0.07953574508428574,-0.41388100385665894,-0.4003855586051941,-0.14235642552375793,-0.3840339481830597,-0.6135542988777161,-0.2230154573917389,-0.24650774896144867,-0.7648446559906006,-0.3027503788471222,-0.33268338441848755,-0.9617125391960144,-0.06579290330410004,-0.47251126170158386,-1.3046457767486572,-0.15927669405937195,-0.5548453330993652,-1.5146727561950684,-0.21597792208194733,-0.6177726984024048,-1.7091587781906128,-0.2569817304611206,-0.15214939415454865,-0.988357424736023,-0.11662308126688004,-0.14560744166374207,-1.4691088199615479,-0.22518518567085266,-0.1519884169101715,-1.7516217231750488,-0.29281994700431824,-0.1467745006084442,-1.9877785444259644,-0.32724422216415405,0.017582183703780174,-0.8879871964454651,-0.1807338446378708,-0.05430825799703598,-1.1666476726531982,-0.356000691652298,-0.1389988511800766,-0.854060173034668,-0.3782476484775543,-0.1664581447839737,-0.6163440346717834,-0.34384119510650635,0.1675899773836136,-0.7116349339485168,-0.24909958243370056,0.025222234427928925,-0.8501051068305969,-0.38955122232437134,-0.06733749061822891,-0.6226742267608643,-0.3864593505859375,-0.09883923083543777,-0.43769022822380066,-0.3523673415184021
peace,1776811117.0236642,0.0,0.0,0.0,-0.23210810124874115,-0.16743804514408112,-0.06700525432825089,-0.4163241386413574,-0.48896774649620056,-0.12093430757522583,-0.3735903203487396,-0.7659825086593628,-0.19447782635688782,-0.21086299419403076,-0.9187678098678589,-0.2650453448295593,-0.2673967182636261,-0.9791414737701416,-0.04067094624042511,-0.40883469581604004,-1.3328348398208618,-0.13811492919921875,-0.4960378408432007,-1.5455658435821533,-0.19706009328365326,-0.5592236518859863,-1.729926586151123,-0.2358737736940384,-0.08052288740873337,-0.9967527389526367,-0.09402291476726532,-0.08260991424322128,-1.4806725978851318,-0.2118149995803833,-0.1035064235329628,-1.7766400575637817,-0.282795250415802,-0.1092546135187149,-2.0256340503692627,-0.3127279579639435,0.09060991555452347,-0.9003288149833679,-0.16016781330108643,-0.04486115276813507,-1.1172716617584229,-0.34117451310157776,-0.15340125560760498,-0.807611882686615,-0.35619625449180603,-0.1877070814371109,-0.5851621627807617,-0.30984026193618774,0.23708447813987732,-0.7322887778282166,-0.23038192093372345,0.04317402094602585,-0.8532202243804932,-0.3681331276893616,-0.06806450337171555,-0.6180342435836792,-0.35579341650009155,-0.10189118981361389,-0.4327683448791504,-0.31119343638420105
peace,1776811118.9636154,0.0,0.0,0.0,0.23834927380084991,-0.1070714220404625,-0.11326613277196884,0.45037642121315,-0.34827277064323425,-0.18690477311611176,0.5360140204429626,-0.5522891283035278,-0.2703457772731781,0.46573734283447266,-0.7311407923698425,-0.34262844920158386,0.41609781980514526,-0.919934868812561,-0.1068158894777298,0.6210054159164429,-1.253612756729126,-0.22586959600448608,0.7383102178573608,-1.4590566158294678,-0.29891201853752136,0.8374284505844116,-1.6498491764068604,-0.34059610962867737,0.23381003737449646,-0.9722822904586792,-0.14548170566558838,0.31380030512809753,-1.4576985836029053,-0.3034243583679199,0.3749587833881378,-1.746558427810669,-0.39048632979393005,0.41867032647132874,-1.9842890501022339,-0.4252361059188843,0.05887589231133461,-0.9004186391830444,-0.19608791172504425,0.27249976992607117,-1.0675705671310425,-0.4171823263168335,0.3470425009727478,-0.7419865727424622,-0.4358227252960205,0.3546450436115265,-0.5090479850769043,-0.3793564736843109,-0.07429662346839905,-0.7518249750137329,-0.25423046946525574,0.1478884369134903,-0.8306403756141663,-0.4182840883731842,0.2268274575471878,-0.5978720188140869,-0.409650593996048,0.23631979525089264,-0.41223931312561035,-0.3577529191970825
peace,1776811120.3715441,0.0,0.0,0.0,0.2036423236131668,-0.16948220133781433,-0.13705289363861084,0.322115033864975,-0.43155637383461,-0.2282446324825287,0.2876631021499634,-0.6283590197563171,-0.32242798805236816,0.14136500656604767,-0.7374441623687744,-0.40461277961730957,0.16273313760757446,-1.0281574726104736,-0.14455583691596985,0.2595768868923187,-1.4206088781356812,-0.27221521735191345,0.312909871339798,-1.6593490839004517,-0.35186102986335754,0.34841498732566833,-1.8764708042144775,-0.39822277426719666,-0.042242322117090225,-0.9991074800491333,-0.17212431132793427,-0.13946059346199036,-1.4675301313400269,-0.3385103642940521,-0.19338539242744446,-1.7649682760238647,-0.4341678023338318,-0.24476951360702515,-2.021101951599121,-0.4756115972995758,-0.20452164113521576,-0.8449231386184692,-0.21064986288547516,-0.11681615561246872,-1.0231144428253174,-0.438518226146698,0.036721985787153244,-0.753267228603363,-0.4671706259250641,0.1131795197725296,-0.5482805371284485,-0.4162454307079315,-0.31743189692497253,-0.6281253099441528,-0.25704169273376465,-0.18461552262306213,-0.7528150081634521,-0.4224110245704651,-0.03769570589065552,-0.5889083743095398,-0.41498273611068726,0.043403830379247665,-0.44625282287597656,-0.3634938597679138
thumbs_up,1776811123.938342,0.0,0.0,0.0,-0.4694631099700928,-0.2720962464809418,0.04237508028745651,-0.9495416283607483,-0.4358401298522949,0.030679985880851746,-1.3448584079742432,-0.5228437185287476,0.013830840587615967,-1.6306312084197998,-0.6609187126159668,-0.006607681512832642,-1.170466661453247,-0.13645236194133759,-0.041193243116140366,-1.2566479444503784,0.20541448891162872,-0.008398594334721565,-1.102020025253296,0.20066286623477936,0.0280168280005455,-1.027165412902832,0.09882096201181412,0.048208147287368774,-0.9942636489868164,0.10695704817771912,-0.07486040890216827,-1.0894547700881958,0.3811524510383606,-0.02172126993536949,-0.9356491565704346,0.3541204035282135,0.022703219205141068,-0.8486955761909485,0.24792583286762238,0.0331389345228672,-0.7702308297157288,0.3317055404186249,-0.09199090301990509,-0.9105127453804016,0.5338766574859619,-0.045375533401966095,-0.7590309977531433,0.4978785514831543,0.0247445460408926,-0.6651953458786011,0.39894676208496094,0.047605693340301514,-0.5283104777336121,0.5310298800468445,-0.10390012711286545,-0.710717499256134,0.6512742042541504,-0.07236193120479584,-0.5768834352493286,0.6048488020896912,0.0039520179852843285,-0.4809063971042633,0.527674674987793,0.05663539841771126
thumbs_up,1776811125.3348603,0.0,0.0,0.0,-0.4892890751361847,-0.36880460381507874,0.007318115793168545,-1.0284138917922974,-0.613741397857666,-0.03954731673002243,-1.452226996421814,-0.7879405617713928,-0.09327129274606705,-1.757274866104126,-1.0161563158035278,-0.15313221514225006,-1.2098723649978638,-0.3394189774990082,-0.13623692095279694,-1.4208202362060547,0.06310165673494339,-0.1976264864206314,-1.2535009384155273,0.05916420370340347,-0.21856722235679626,-1.1578704118728638,-0.07521180808544159,-0.22699227929115295,-0.9993265271186829,-0.03669384866952896,-0.18216629326343536,-1.2406768798828125,0.29906684160232544,-0.21922355890274048,-1.0664697885513306,0.2726619839668274,-0.19346477091312408,-0.9445976614952087,0.1485089510679245,-0.1850149780511856,-0.7656847238540649,0.2507224977016449,-0.21971431374549866,-1.0340607166290283,0.5139941573143005,-0.25415414571762085,-0.8647421002388,0.4833917021751404,-0.17361153662204742,-0.7347073554992676,0.36643391847610474,-0.12649710476398468,-0.5205745697021484,0.5184348225593567,-0.254407674074173,-0.7953131794929504,0.6918925642967224,-0.27912700176239014,-0.6594896912574768,0.6474997401237488,-0.20294985175132751,-0.5324703454971313,0.552313506603241,-0.1409021019935608
thumbs_up,1776811126.3087232,0.0,0.0,0.0,-0.7167364358901978,-0.036665335297584534,-0.01808897964656353,-1.3877087831497192,0.09475530683994293,-0.11492633074522018,-1.9338899850845337,0.12907007336616516,-0.2131926566362381,-2.3727457523345947,0.07167712599039078,-0.3167819380760193,-1.2343461513519287,0.4492079019546509,-0.31289011240005493,-1.2638856172561646,1.042221188545227,-0.4232262074947357,-1.160201072692871,0.8876659870147705,-0.461024671792984,-1.1470593214035034,0.6756083369255066,-0.47520145773887634,-0.7754562497138977,0.6314012408256531,-0.36620858311653137,-0.9058383107185364,1.1691011190414429,-0.43311557173728943,-0.8225071430206299,0.9938199520111084,-0.39599648118019104,-0.7668964266777039,0.785290002822876,-0.3827918469905853,-0.33130964636802673,0.7876783609390259,-0.40381911396980286,-0.534052312374115,1.254285454750061,-0.4451252520084381,-0.4730769991874695,1.0822398662567139,-0.332844078540802,-0.41419920325279236,0.8733648061752319,-0.26867032051086426,0.079889677464962,0.9135058522224426,-0.4391123652458191,-0.16255591809749603,1.2913340330123901,-0.45595401525497437,-0.12889915704727173,1.1396816968917847,-0.34303176403045654,-0.05616289749741554,0.959570586681366,-0.2603738605976105
thumbs_up,1776811127.1376371,0.0,0.0,0.0,-0.4894181191921234,-0.15108300745487213,0.027587635442614555,-0.9886776804924011,-0.21563462913036346,-0.008684641681611538,-1.377464771270752,-0.2956235408782959,-0.05965752154588699,-1.671578049659729,-0.452792227268219,-0.11481840163469315,-1.1686729192733765,0.08099152892827988,-0.04304800182580948,-1.1531621217727661,0.5073915123939514,-0.08144854009151459,-0.9874478578567505,0.48865240812301636,-0.09909072518348694,-0.9465705156326294,0.3565942645072937,-0.10919997096061707,-0.9649568796157837,0.26240870356559753,-0.09593138098716736,-0.9342357516288757,0.6677269339561462,-0.11265947669744492,-0.7855269908905029,0.6180694103240967,-0.09606589376926422,-0.7562847137451172,0.46901798248291016,-0.09382566809654236,-0.7085210680961609,0.4409305155277252,-0.1436326503753662,-0.7227017879486084,0.7956584692001343,-0.1603253334760666,-0.5799816846847534,0.7389675378799438,-0.10164593905210495,-0.5544096827507019,0.5907555222511292,-0.07135167717933655,-0.4303130507469177,0.6114709973335266,-0.18951717019081116,-0.5072513818740845,0.880486011505127,-0.2031869739294052,-0.3967255651950836,0.8068618178367615,-0.1424071490764618,-0.35289570689201355,0.675601065158844,-0.09171102941036224
thumbs_up,1776811127.8288114,0.0,0.0,0.0,-0.510346531867981,-0.21982704102993011,-0.031813669949769974,-0.9759746789932251,-0.3148937225341797,-0.07903067767620087,-1.3672977685928345,-0.3576939105987549,-0.12322328984737396,-1.6567364931106567,-0.47906693816185,-0.16999000310897827,-1.102660894393921,0.2704061269760132,-0.06058989092707634,-1.0173046588897705,0.2706187963485718,-0.03306408226490021,-0.8700257539749146,0.19435127079486847,-0.045645978301763535,-0.7724193334579468,0.15304282307624817,-0.06888607144355774,-0.860721230506897,0.509076714515686,-0.062022287398576736,-0.7812138199806213,0.44071224331855774,0.010372492484748363,-0.6735134124755859,0.3610123097896576,-0.0021988211665302515,-0.5853180289268494,0.3074389696121216,-0.04662209376692772,-0.5866710543632507,0.6714590787887573,-0.051420506089925766,-0.5626351237297058,0.567689836025238,0.013324061408638954,-0.48619911074638367,0.48348844051361084,0.015286718495190144,-0.4044085443019867,0.41786205768585205,-0.015508483164012432,-0.3188467025756836,0.7924890518188477,-0.045204270631074905,-0.34505799412727356,0.7209072113037109,-0.0019377664430066943,-0.293472558259964,0.6226347088813782,0.033665649592876434,-0.23765245079994202,0.5504387021064758,0.054301366209983826
thumbs_up,1776811128.7772758,0.0,0.0,0.0,-0.4695388376712799,-0.30358561873435974,0.02812105230987072,-0.9878432154655457,-0.5543283224105835,-0.02456621266901493,-1.3818029165267944,-0.7702111601829529,-0.08876179158687592,-1.640304684638977,-1.0307254791259766,-0.15833351016044617,-1.1935864686965942,-0.35292360186576843,-0.13181062042713165,-1.3704712390899658,0.11490115523338318,-0.20552395284175873,-1.1650344133377075,0.14242428541183472,-0.22549274563789368,-1.0667192935943604,0.009947864338755608,-0.23146933317184448,-0.9959433674812317,-0.08998266607522964,-0.1949549913406372,-1.1887332201004028,0.35993415117263794,-0.24363738298416138,-0.9997397661209106,0.3438626229763031,-0.20810779929161072,-0.8979927897453308,0.20226748287677765,-0.19217048585414886,-0.7693281769752502,0.1838676929473877,-0.2504916191101074,-0.9806811809539795,0.5663802027702332,-0.28796231746673584,-0.8004263043403625,0.5324051380157471,-0.20163211226463318,-0.6917030811309814,0.3947809338569641,-0.15260113775730133,-0.5295969843864441,0.45852130651474,-0.30266043543815613,-0.7193059921264648,0.7282650470733643,-0.33090952038764954,-0.5785028338432312,0.667510986328125,-0.2623644173145294,-0.47967764735221863,0.5426927804946899,-0.2067413032054901
